train_loss,out_0,out_1,epoch,step
1.0673527717590332,-0.027786776423454285,-0.03312766179442406,24,49
0.9784049391746521,0.013595848344266415,0.01085645705461502,49,99
0.8934041261672974,0.055361729115247726,0.05479942634701729,74,149
0.7937672138214111,0.10627774894237518,0.10906384140253067,99,199
0.6799089312553406,0.16704240441322327,0.17543409764766693,124,249
0.5662896037101746,0.23142258822917938,0.24747782945632935,149,299
0.46817684173583984,0.29136624932289124,0.31576550006866455,174,349
0.3925669491291046,0.3414567708969116,0.37344837188720703,199,399
0.3380635678768158,0.380361407995224,0.4185676574707031,224,449
0.29976886510849,0.40938234329223633,0.4524884819984436,249,499
0.2728672921657562,0.4306263029575348,0.4776330292224884,274,549
0.25374647974967957,0.44604578614234924,0.4962674677371979,299,599
0.23993940651416779,0.4571723937988281,0.5101639032363892,324,649
0.22980421781539917,0.4651360511779785,0.5206210017204285,349,699
0.2222442775964737,0.4707542359828949,0.5285720825195312,374,749
0.2165147066116333,0.4746180772781372,0.5346885919570923,399,799
0.21209999918937683,0.4771570861339569,0.539456844329834,424,849
0.2086353451013565,0.47868651151657104,0.5432338118553162,449,899
0.2058587372303009,0.4794386625289917,0.5462834239006042,474,949
0.203578382730484,0.4795856177806854,0.5488033890724182,499,999
0.2016526609659195,0.4792552590370178,0.5509424805641174,524,1049
0.19997525215148926,0.4785420596599579,0.5528140664100647,549,1099
0.19846655428409576,0.47751495242118835,0.5545041561126709,574,1149
0.1970653533935547,0.4762241542339325,0.5560795664787292,599,1199
0.19572538137435913,0.474704384803772,0.5575913786888123,624,1249
0.19441106915473938,0.4729783535003662,0.5590792894363403,649,1299
0.19309426844120026,0.47106024622917175,0.5605750679969788,674,1349
0.19175302982330322,0.46895626187324524,0.5621038675308228,699,1399
0.19036968052387238,0.4666665196418762,0.5636862516403198,724,1449
0.18892933428287506,0.4641861617565155,0.565339982509613,749,1499
0.18741944432258606,0.46150559186935425,0.5670803189277649,774,1549
0.1858287751674652,0.45861145853996277,0.5689213871955872,799,1599
0.18414674699306488,0.45548656582832336,0.5708767771720886,824,1649
0.18236319720745087,0.45210981369018555,0.5729599595069885,849,1699
0.180467426776886,0.44845637679100037,0.5751854181289673,874,1749
0.1784488558769226,0.44449731707572937,0.5775679349899292,899,1799
0.17629553377628326,0.4401998519897461,0.5801243782043457,924,1849
0.17399504780769348,0.43552547693252563,0.5828728675842285,949,1899
0.17153355479240417,0.4304305613040924,0.5858339071273804,974,1949
0.16889548301696777,0.4248657524585724,0.5890310406684875,999,1999
0.16606365144252777,0.4187740087509155,0.5924909114837646,1024,2049
0.16301926970481873,0.4120907783508301,0.5962435603141785,1049,2099
0.1597408801317215,0.4047428369522095,0.6003240346908569,1074,2149
0.15620486438274384,0.3966471552848816,0.6047723889350891,1099,2199
0.15238520503044128,0.3877107799053192,0.609634518623352,1124,2249
0.14825354516506195,0.37782981991767883,0.6149629354476929,1149,2299
0.14377933740615845,0.3668909966945648,0.6208175420761108,1174,2349
0.1389307826757431,0.3547731637954712,0.6272658109664917,1199,2399
0.13367585837841034,0.3413519263267517,0.6343829035758972,1224,2449
0.1279856115579605,0.3265073001384735,0.6422492265701294,1249,2499
0.12183713912963867,0.3101367950439453,0.6509482264518738,1274,2549
0.1152195855975151,0.29217517375946045,0.660559892654419,1299,2599
0.10814238339662552,0.2726212441921234,0.6711499094963074,1324,2649
0.10064371675252914,0.25157105922698975,0.6827560663223267,1349,2699
0.09280109405517578,0.22925306856632233,0.6953672766685486,1374,2749
0.08473634719848633,0.20605343580245972,0.7089049220085144,1399,2799
0.07661551982164383,0.1825176626443863,0.7232049107551575,1424,2849
0.0686354860663414,0.1593140959739685,0.7380162477493286,1449,2899
0.06100059673190117,0.13715338706970215,0.753017008304596,1474,2949
0.05389244109392166,0.11668165028095245,0.7678525447845459,1499,2999
0.04744385927915573,0.09838029742240906,0.7821838855743408,1524,3049
0.04172492027282715,0.08250436186790466,0.7957332134246826,1549,3099
0.036745455116033554,0.06907913088798523,0.8083089590072632,1574,3149
0.0324668362736702,0.05794806778430939,0.8198144435882568,1599,3199
0.028820781037211418,0.048840537667274475,0.8302331566810608,1624,3249
0.02572566643357277,0.04144122451543808,0.8396077752113342,1649,3299
0.023098712787032127,0.03544050455093384,0.8480173945426941,1674,3349
0.02086329087615013,0.03056224063038826,0.8555586934089661,1699,3399
0.018952662125229836,0.026574769988656044,0.8623313307762146,1724,3449
0.01731029897928238,0.023292653262615204,0.8684313893318176,1749,3499
0.015889817848801613,0.02056843228638172,0.8739451766014099,1774,3549
0.01465308852493763,0.018288740888237953,0.8789500594139099,1799,3599
0.013569394126534462,0.016363607719540596,0.8835122585296631,1824,3649
0.012613815255463123,0.01472566183656454,0.8876887559890747,1849,3699
0.011766146868467331,0.013320589438080788,0.8915281295776367,1874,3749
0.011009939014911652,0.012106730602681637,0.8950717449188232,1899,3799
0.010331704281270504,0.011050558649003506,0.8983550071716309,1924,3849
0.009720402769744396,0.010125789791345596,0.9014078974723816,1949,3899
0.009166904725134373,0.009311496280133724,0.9042560458183289,1974,3949
0.008663628250360489,0.00859050266444683,0.90692138671875,1999,3999
